ICD
A000
A001
A009
A0100
A0101
A0102
A0103
A0104
A0105
A0109
A011
A012
A013
A014
A020
A0223
A0224
A0225
A0229
A028
A029
A030
A040
A041
A042
A043
A044
A045
A046
A0471
A0472
A048
A049
A050
A051
A052
A053
A054
A055
A058
A060
A061
A062
A063
A0681
A0682
A0689
A071
A072
A073
A074
A078
A079
A080
A0811
A0819
A082
A0831
A0832
A0839
A09
A150
A154
A155
A156
A157
A158
A159
A179
A1801
A1802
A1803
A1809
A1810
A1811
A1812
A1813
A1814
A1815
A1816
A1817
A1818
A182
A1832
A1839
A184
A1850
A1851
A1852
A1853
A1854
A1859
A186
A187
A1881
A1882
A1883
A1884
A1885
A1889
A210
A211
A212
A213
A217
A218
A219
A220
A222
A228
A229
A238
A239
A240
A241
A242
A243
A249
A250
A251
A259
A270
A2789
A279
A280
A281
A282
A288
A289
A300
A301
A302
A303
A304
A305
A308
A309
A310
A311
A312
A318
A319
A320
A3211
A3212
A3281
A3282
A3289
A329
A34
A360
A361
A362
A363
A3681
A3682
A3683
A3684
A3685
A3686
A3689
A369
A3700
A3710
A3780
A3790
A380
A381
A388
A389
A3982
A3983
A3984
A3989
A399
A420
A421
A422
A4281
A4282
A4289
A429
A430
A431
A438
A439
A440
A441
A448
A449
A4851
A4852
A5001
A5002
A5003
A5004
A5005
A5006
A5007
A5008
A5009
A502
A5030
A5031
A5032
A5039
A5040
A5043
A5044
A5045
A5049
A5051
A5052
A5053
A5054
A5055
A5056
A5057
A5059
A5131
A5132
A5139
A5142
A5143
A5144
A5145
A5146
A5149
A5200
A5201
A5202
A5203
A5204
A5205
A5206
A5209
A5210
A5211
A5212
A5215
A5216
A5217
A5219
A522
A523
A5271
A5272
A5273
A5274
A5275
A5276
A5277
A5278
A5279
A5400
A5401
A5402
A5403
A5409
A541
A5421
A5422
A5423
A5424
A5429
A5430
A5431
A5432
A5433
A5439
A5440
A5441
A5442
A5443
A5449
A5482
A5483
A5484
A5485
A5489
A549
A680
A681
A689
A691
A6920
A6921
A6922
A6923
A6929
A70
A750
A751
A752
A753
A759
A770
A771
A772
A773
A7740
A7741
A7749
A778
A779
A78
A790
A791
A7981
A7982
A7989
A799
A8100
A8101
A8109
A811
A812
A8181
A8182
A8183
A8189
A819
A820
A821
A829
A850
A851
A858
A86
A870
A871
A872
A878
A879
A880
A888
A89
A90
A91
A920
A921
A922
A924
A925
A928
A929
A930
A931
A932
A938
A94
A950
A951
A959
A960
A961
A968
A969
A980
A981
A982
A985
A988
A99
B002
B0050
B0051
B0052
B0053
B0059
B0081
B0089
B010
B0181
B0189
B019
B020
B0221
B0222
B0223
B0229
B0230
B0231
B0232
B0233
B0234
B0239
B027
B028
B03
B04
B051
B054
B0581
B0589
B0600
B0602
B0609
B0681
B0682
B0689
B083
B0871
B159
B161
B169
B170
B1710
B172
B178
B179
B180
B181
B188
B189
B1910
B199
B20
B251
B258
B259
B260
B263
B2681
B2682
B2683
B2684
B2685
B2689
B331
B3320
B3321
B3322
B3323
B334
B343
B370
B3741
B3749
B3781
B3782
B3783
B3784
B3789
B380
B381
B382
B383
B387
B3881
B3889
B389
B393
B400
B401
B402
B403
B407
B4081
B4089
B409
B410
B417
B418
B419
B441
B442
B447
B4481
B4489
B449
B450
B452
B453
B457
B458
B459
B470
B471
B479
B482
B483
B484
B488
B49
B500
B508
B510
B518
B519
B520
B528
B529
B530
B531
B538
B54
B550
B551
B552
B559
B560
B561
B569
B570
B571
B572
B5730
B5731
B5732
B5739
B5740
B5741
B5742
B5749
B575
B5800
B5801
B5809
B581
B5882
B5883
B5889
B589
B6000
B6001
B6002
B6003
B6009
B6010
B6019
B602
B650
B651
B652
B653
B658
B659
B660
B661
B662
B663
B664
B665
B668
B670
B671
B672
B6731
B6732
B6739
B674
B675
B6761
B6769
B677
B678
B6790
B6799
B680
B681
B689
B690
B691
B6981
B6989
B699
B700
B701
B710
B711
B718
B72
B7300
B7301
B7302
B7309
B731
B740
B741
B742
B743
B744
B748
B749
B75
B760
B761
B768
B769
B770
B7789
B779
B780
B787
B789
B79
B80
B810
B811
B812
B813
B814
B818
B820
B9721
B9733
B9734
B9735
C153
C154
C155
C158
C159
C160
C161
C162
C163
C164
C165
C166
C168
C169
C170
C171
C172
C173
