ICD
A021
A0221
A0222
A064
A065
A066
A170
A171
A1781
A1782
A1783
A1789
A1831
A190
A191
A192
A198
A199
A200
A201
A202
A203
A207
A208
A209
A221
A227
A267
A2781
A327
A33
A35
A3701
A3711
A3781
A3791
A390
A391
A392
A393
A394
A3950
A3951
A3952
A3953
A3981
A400
A401
A403
A408
A409
A4101
A4102
A411
A412
A413
A414
A4150
A4151
A4152
A4153
A4154
A4159
A4181
A4189
A419
A427
A480
A481
A483
A5041
A5042
A5141
A5213
A5214
A5481
A5486
A800
A801
A802
A8030
A8039
A830
A831
A832
A833
A834
A835
A836
A838
A839
A840
A841
A8481
A8489
A849
A852
A9230
A9231
A9232
A9239
B003
B004
B007
B0082
B0111
B0112
B012
B021
B0224
B050
B052
B0601
B1001
B1009
B150
B160
B162
B1711
B190
B1911
B1921
B250
B252
B261
B262
B371
B375
B376
B377
B384
B390
B391
B392
B440
B451
B460
B461
B462
B463
B464
B465
B468
B469
B509
B582
B583
B5881
B59
B7781
D5700
D5701
D5702
D5703
D5704
D5709
D57211
D57212
D57213
D57214
D57218
D57219
D57411
D57412
D57413
D57414
D57418
D57419
D57431
D57432
D57433
D57434
D57438
D57439
D57451
D57452
D57453
D57454
D57458
D57459
D57811
D57812
D57813
D57814
D57818
D57819
D5930
D5931
D5932
D5939
D600
D601
D608
D609
D611
D612
D613
D61810
D61811
D6189
D65
D66
D67
E035
E0501
E0511
E0521
E0531
E0541
E0581
E0591
E0800
E0801
E0810
E0811
E08641
E0900
E0901
E0910
E0911
E09641
E1010
E1011
E10641
E1100
E1101
E1110
E1111
E11641
E1300
E1301
E1310
E1311
E13641
E40
E41
E42
E43
E840
E8411
E883
G000
G001
G002
G003
G008
G009
G01
G02
G030
G038
G039
G0400
G0401
G0402
G042
G0430
G0431
G0432
G0439
G0481
G0482
G0489
G0490
G0491
G053
G054
G060
G061
G062
G07
G08
G210
G374
G40301
G40311
G40319
G7001
G800
G8250
G8251
G8252
G8253
G8254
G835
G928
G929
G9341
G935
G936
G937
G9382
G9511
G9519
I2101
I2102
I2109
I2111
I2119
I2121
I2129
I213
I214
I219
I21A1
I21A9
I21B
I220
I221
I222
I228
I229
I234
I235
I2542
I2601
I2602
I2603
I2604
I2609
I2690
I2692
I2693
I2694
I2695
I2696
I2699
I330
I339
I400
I401
I408
I409
I41
I462
I468
I469
I4901
I4902
I5021
I5023
I5031
I5033
I5041
I5043
I511
I512
I6000
I6001
I6002
I6010
I6011
I6012
I602
I6030
I6031
I6032
I604
I6050
I6051
I6052
I606
I607
I608
I609
I610
I611
I612
I613
I614
I615
I616
I618
I619
I6200
I6201
I6202
I6203
I621
I6300
I63011
I63012
I63013
I63019
I6302
I63031
I63032
I63033
I63039
I6309
I6310
I63111
I63112
I63113
I63119
I6312
I63131
I63132
I63133
I63139
I6319
I6320
I63211
I63212
I63213
I63219
I6322
I63231
I63232
I63233
I63239
I6329
I6330
I63311
I63312
I63313
I63319
I63321
I63322
I63323
I63329
I63331
I63332
I63333
I63339
I63341
I63342
I63343
I63349
I6339
I6340
I63411
I63412
I63413
I63419
I63421
I63422
I63423
I63429
I63431
I63432
I63433
I63439
I63441
I63442
I63443
I63449
I6349
I6350
I63511
I63512
I63513
I63519
I63521
I63522
I63523
I63529
I63531
I63532
I63533
I63539
I63541
I63542
I63543
I63549
I6359
I636
I6381
I6389
I639
I670
I6783
I7100
I71010
I71011
I71012
I71019
I7102
I7103
I7110
I7111
I7112
I7113
I7130
I7131
I7132
I7133
I7150
